Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species,ASV,Total,Percent,Prevalence
d__Bacteria,k__norank_d__Bacteria,p__Actinomycetota,c__Actinobacteria,o__Propionibacteriales,f__Nocardioidaceae,g__Nocardioides,s__unclassified_g__Nocardioides,ASV348,15,3.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__0319-6G20,f__norank_o__0319-6G20,g__norank_o__0319-6G20,s__bacterium_enrichment_culture_clone_B126(2011),ASV359,13,3.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,g__Massilia,s__unclassified_g__Massilia,ASV421,13,3.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__Bacillus_ginsengihumi,ASV636,8,2.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__DSSF69,s__Hankyongella_aquatica,ASV368,7,2.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__Bryobacter,s__uncultivated_soil_bacterium_clone_C002,ASV450,50,0.00011,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__unclassified_f__Sphingomonadaceae,s__unclassified_f__Sphingomonadaceae,ASV668,50,0.00011,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Paucibacter,s__unclassified_g__Paucibacter,ASV619,33,7.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Nitrospirota,c__Nitrospiria,o__Nitrospirales,f__Nitrospiraceae,g__Nitrospira,s__unclassified_g__Nitrospira,ASV671,38,9.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Roseburia,s__uncultured_bacterium_g__Roseburia,ASV514,31,7.0E-5,0.08333
